Free Guy,2021,PG-13,115,"Action, Adventure, Comedy",7.1,"When Guy, a bank teller, learns that he is a non-player character in a bloodthirsty, open-world video game, he goes on to become the hero of the story and takes the responsibility of saving the world.",Shawn Levy,"405,350"
The Expendables,2010,R,103,"Action, Adventure, Thriller",6.4,A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.,Sylvester Stallone,"359,703"
Drive,2011,R,100,"Action, Drama",7.8,A mysterious Hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbor's husband rob a pawn shop while serving as his getaway driver.,Nicolas Winding Refn,"685,062"
The Guest,2014,R,100,"Action, Mystery, Thriller",6.7,"A soldier introduces himself to the Peterson family, claiming to be a friend of their son who died in action. After the young man is welcomed into their home, a series of accidental deaths seem to be connected to his presence.",Adam Wingard,"104,541"
Ant-Man and the Wasp: Quantumania,2023,PG-13,124,"Action, Adventure, Comedy",6.1,"Scott Lang and Hope Van Dyne are dragged into the Quantum Realm, along with Hope's parents and Scott's daughter Cassie. Together they must find a way to escape, but what secrets is Hope's mother hiding? And who is the mysterious Kang?",Peyton Reed,"208,600"
Rogue One,2016,PG-13,133,"Action, Adventure, Sci-Fi",7.8,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.",Gareth Edwards,"670,912"
The Matrix Resurrections,2021,R,148,"Action, Sci-Fi",5.7,"Return to a world of two realities: one, everyday life; the other, what lies behind it. To find out if his reality is a construct, to truly know himself, Mr. Anderson will have to choose to follow the white rabbit once more.",Lana Wachowski,"270,058"
65,2023,PG-13,0,"Action, Adventure, Drama",5.4,An astronaut crash lands on a mysterious planet only to discover he's not alone.,Scott Beck,"75,277"
Spider-Man,2002,PG-13,121,"Action, Adventure, Sci-Fi",7.4,"After being bitten by a genetically-modified spider, a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy.",Sam Raimi,"857,091"
Ready or Not,2019,R,0,"Action, Comedy, Horror",6.9,A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,Matt Bettinelli-Olpin,"172,852"
Ghosted,2023,PG-13,116,"Action, Adventure, Comedy",5.8,"Cole falls head over heels for enigmatic Sadie, but then makes the shocking discovery that she's a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world.",Dexter Fletcher,"54,020"
Batman Begins,2005,PG-13,140,"Action, Crime, Drama",8.2,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",Christopher Nolan,"1,540,752"
Operation Fortune: Ruse de Guerre,2023,R,114,"Action, Comedy, Thriller",6.3,Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,Guy Ritchie,"74,410"
